id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,difficulty
15,What does Satya represent?,Material success,Truthfulness and ultimate reality,Physical health,Social status,B,"Satya encompasses truth in all forms - ultimate reality, truthfulness in conduct, and authentic living.",Ethics,Beginner
16,What is Jiva?,The ultimate reality,The physical universe,The individual soul,The divine teacher,C,"Jiva is the individual soul or living being bound by karma and seeking liberation through multiple lifetimes.",Core Concepts,Intermediate
17,What does Vairagya mean?,Intense attachment,Emotional expression,Detachment and dispassion,Physical strength,C,"Vairagya is detachment or dispassion toward results, performing duty without being bound by expectations.",Ethics,Advanced
18,What is the purpose of Mantra?,Physical exercise,Repetitive sacred sound for spiritual benefit,Social networking,Material gain,B,"Mantras are sacred sounds repeated to focus the mind, purify consciousness, and invoke divine qualities.",Practices,Beginner
19,What does Seva represent?,Self-promotion,Selfless service,Material accumulation,Personal achievement,B,"Seva is selfless service performed without expectation of reward, purifying the ego and developing compassion.",Ethics,Beginner
20,What is Santosha?,Constant craving,Contentment and satisfaction,Aggressive ambition,Restless anxiety,B,"Santosha is contentment or satisfaction with what one has, finding peace independent of external circumstances.",Ethics,Beginner
21,What does Shraddha mean?,Doubt and skepticism,Faith and trust in the spiritual path,Material desire,Physical strength,B,"Shraddha is faith or trust in the spiritual path, teacher, and ultimate truth, providing foundation for practice.",Ethics,Beginner
22,What is Ishvara?,The individual soul,The material world,The personal aspect of the divine,A meditation technique,C,"Ishvara is the personal aspect of the divine, the supreme controller accessible to devotees through worship.",Core Concepts,Intermediate
23,What does Shakti represent?,Male energy only,Divine feminine power and energy,Material wealth,Physical objects,B,"Shakti is the divine feminine power that manifests and sustains the universe, the dynamic aspect of Brahman.",Core Concepts,Intermediate
24,What is Dhyana?,Physical posture,Sustained meditation and concentration,Ritual worship,Social service,B,"Dhyana is meditation or sustained concentration, the practice of withdrawing the mind from external distractions.",Practices,Intermediate
25,What does Lila mean?,Serious struggle,Divine play or cosmic game,Material transaction,Physical exercise,B,"Lila is the divine play, suggesting the universe is a joyful expression of divine creativity rather than mechanical process.",Core Concepts,Advanced
26,What is Aparigraha?,Excessive accumulation,Non-possessiveness and non-attachment,Aggressive competition,Material hoarding,B,"Aparigraha is non-possessiveness, taking only what is necessary and not accumulating beyond one's needs.",Ethics,Intermediate
27,What does Japa involve?,Loud shouting,Repetitive prayer with mantra,Physical dancing,Competitive sports,B,"Japa is repetitive prayer or meditation using a mantra, often done with prayer beads to maintain focus.",Practices,Beginner
28,What is Puja?,Physical exercise,Ritualistic worship with offerings,Business transaction,Social gossip,B,"Puja is ritualistic worship involving offerings, prayers, and devotion to cultivate bhakti and purify the heart.",Practices,Beginner
29,What does Brahmacharya involve?,Unlimited indulgence,Moderation or celibacy,Material accumulation,Social dominance,B,"Brahmacharya is the practice of celibacy or moderation, channeling vital energy toward spiritual growth.",Ethics,Intermediate
30,What is Asteya?,Taking freely,Non-stealing and honesty,Hoarding resources,Wasting materials,B,"Asteya is non-stealing, including not taking what isn't given, not wasting resources, and not coveting others' possessions.",Ethics,Beginner
